#: table_doi: 10.17182/hepdata.78697.v2/t16
#: name: Table 16
#: description: Two-dimensional distributions of $x$-$y$ positions of vertices observed in the data passing the vertex pre-selection and satisfying all signal region event-level requirements.
#: data_file: data46.yaml
#: data_license:   
#: keyword reactions: 
#: keyword observables: N
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000
'DV x [mm]','DV y [mm]','Entries'
-74.0,-242.0,2.0
-70.0,-242.0,1.0
-66.0,-242.0,3.0
-62.0,-242.0,2.0
-54.0,-242.0,4.0
-50.0,-242.0,1.0
-46.0,-242.0,3.0
-42.0,-242.0,1.0
-38.0,-242.0,4.0
-34.0,-242.0,1.0
-30.0,-242.0,2.0
-26.0,-242.0,2.0
-22.0,-242.0,2.0
-18.0,-242.0,2.0
-14.0,-242.0,1.0
-10.0,-242.0,2.0
-6.0,-242.0,1.0
6.0,-242.0,1.0
10.0,-242.0,2.0
18.0,-242.0,1.0
22.0,-242.0,2.0
30.0,-242.0,1.0
34.0,-242.0,4.0
38.0,-242.0,2.0
42.0,-242.0,5.0
46.0,-242.0,1.0
50.0,-242.0,1.0
54.0,-242.0,3.0
58.0,-242.0,2.0
62.0,-242.0,2.0
66.0,-242.0,1.0
70.0,-242.0,1.0
74.0,-242.0,1.0
78.0,-242.0,3.0
106.0,-242.0,2.0
118.0,-242.0,1.0
122.0,-242.0,2.0
134.0,-242.0,1.0
138.0,-242.0,1.0
-134.0,-238.0,2.0
-122.0,-238.0,1.0
-118.0,-238.0,3.0
-114.0,-238.0,1.0
-110.0,-238.0,2.0
-94.0,-238.0,1.0
-86.0,-238.0,2.0
-78.0,-238.0,5.0
-70.0,-238.0,2.0
-66.0,-238.0,3.0
-58.0,-238.0,3.0
-50.0,-238.0,2.0
-46.0,-238.0,3.0
-42.0,-238.0,2.0
-34.0,-238.0,3.0
-30.0,-238.0,1.0
-26.0,-238.0,1.0
-22.0,-238.0,1.0
-14.0,-238.0,2.0
-10.0,-238.0,1.0
-2.0,-238.0,1.0
2.0,-238.0,2.0
6.0,-238.0,1.0
10.0,-238.0,1.0
18.0,-238.0,1.0
22.0,-238.0,2.0
30.0,-238.0,3.0
34.0,-238.0,2.0
38.0,-238.0,2.0
46.0,-238.0,1.0
54.0,-238.0,1.0
58.0,-238.0,4.0
62.0,-238.0,2.0
66.0,-238.0,1.0
74.0,-238.0,1.0
78.0,-238.0,3.0
86.0,-238.0,1.0
90.0,-238.0,2.0
94.0,-238.0,1.0
110.0,-238.0,1.0
114.0,-238.0,2.0
118.0,-238.0,1.0
126.0,-238.0,2.0
130.0,-238.0,1.0
138.0,-238.0,2.0
